Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
阿基米德fm,UI设计师,10k-15k,12.5,,,
优复教育,UI实习设计师,4k-8k,6,,,
上海颂越信息科技有限公司,视觉设计师,5k-8k,6.5,,,
阿里体育,视觉设计师,10k-18k,14,,,
EFFECT,视觉设计师,5k-10k,7.5,,,
交大慧谷,ui设计师,6k-8k,7,,,
携程,UI设计师,12k-20k,16,,,
faceui,视觉设计师,10k-16k,13,,,
2345.com,资深UI设计师,18k-25k,21.5,,,
扬讯科技,UI设计师,8k-10k,9,,,
同程艺龙,高级UI设计师,15k-25k,20,,,
安居客,UI设计师,17k-34k,25.5,,,
上海半城,ui设计师,8k-15k,11.5,,,
遨游酒店信息技术(深圳)有限责任公司,UI/UE,8k-12k,10,,,
鱼泡泡,资深UI设计师,20k-30k,25,,,
游侠电车,视觉设计师,10k-12k,11,,,
上海君润网络,资深游戏ui设计师,15k-25k,20,,,
上海墨鹍,UI经理/UI设计专家,25k-35k,30,,,
阿里体育,高级UI设计师-上海,15k-25k,20,,,
蜻蜓FM,资深视觉设计师,15k-25k,20,,,
喜马拉雅,直播线UI设计师,15k-22k,18.5,,,
上海国熙信息科技,ui设计师,8k-15k,11.5,,,
心动网络,UI设计师(J10055),15k-25k,20,,,
蜻蜓FM,视觉设计师,10k-20k,15,,,
小站教育,高级UI设计师,15k-25k,20,,,
虎扑,UI设计师（实习）,2k-4k,3,,,
远望谷,UI设计师,8k-15k,11.5,,,
上海墨鹍,资深UI设计/UI设计经理,15k-25k,20,,,
西蒙 simon,UI交互设计师,10k-18k,14,,,
鱼泡泡,视觉设计-实习生,4k-6k,5,,,
红柒,视觉设计师,6k-8k,7,,,
埃森哲,UI/UX设计师,5k-10k,7.5,,,
青苹果健康,UI设计师,10k-15k,12.5,,,
faceui,视觉设计师,5k-10k,7.5,,,
拼多多,资深UI设计师（商家侧）,20k-30k,25,,,
帜讯信息,UI设计师,14k-18k,16,,,
盈嘉互联,UI设计师（上海）,5k-8k,6.5,,,
觅蔬生鲜,UI设计师,10k-13k,11.5,,,
木圣科技,UI设计,2k-4k,3,,,
Versa,资深视觉设计师,15k-25k,20,,,
不虚科技（无量实验室）,视觉设计师 - 实习生,3k-5k,4,,,
同程艺龙,高级UI设计师,15k-30k,22.5,,,
雷速体育,UI/UE设计师,12k-22k,17,,,
众安保险,UI设计师,15k-25k,20,,,
游瑞网络,UI设计师,8k-15k,11.5,,,
动景集团,互动视觉设计师,10k-20k,15,,,
纬修师,UI设计/网页设计/淘宝美工,5k-7k,6,,,
爱奇艺,视觉设计师,15k-30k,22.5,,,
ezbuy,视觉设计实习生,2k-3k,2.5,,,
复创互联网,UI设计师,10k-20k,15,,,
糖糖屋,UI设计师,8k-10k,9,,,
返利网,资深UI设计师-DSH0712,15k-25k,20,,,
Mobiwind人来风,视觉设计师,8k-15k,11.5,,,
众安保险,视觉设计师,15k-25k,20,,,
返利网,资深UI设计师,15k-25k,20,,,
鱼泡泡,高级视觉设计师,10k-20k,15,,,
格尔软件,UI设计实习生,3k-5k,4,,,
锐群,平面/UI设计师,10k-12k,11,,,
韩创科技,UI设计师,10k-15k,12.5,,,
新番资本,UI设计师,9k-13k,11,,,
齐家网,UI设计师,12k-24k,18,,,
数字坊,高级游戏UI设计师,15k-25k,20,,,
有鱼金融科技,UI设计师,5k-10k,7.5,,,
别样app,高级ui设计师（动效能力强）,15k-25k,20,,,
WISH CHINA,视觉设计实习生,4k-5k,4.5,,,
爱奇艺,高级视觉设计师,16k-30k,23,,,
虎扑,高级视觉设计师,12k-20k,16,,,
携程,UI设计师,12k-20k,16,,,
MOLBASE,UI设计师,14k-20k,17,,,
七牛云,UI设计师,13k-25k,19,,,
添锡信息科技,UE/UI 设计师,8k-12k,10,,,
寰与资本,视觉设计师,10k-15k,12.5,,,
锐赢企业,视觉设计师,13k-20k,16.5,,,
方创金融,ui设计师,15k-30k,22.5,,,
90KM,游戏UI设计师,10k-20k,15,,,
舟恩信息,资深UI设计师,9k-18k,13.5,,,
美团点评,视觉设计师-活动营销,15k-25k,20,,,
有鱼金融科技,ui设计师,7k-14k,10.5,,,
橙娱传媒,视觉设计/平面设计 实习生,1k-2k,1.5,,,
雷速体育,UI设计师（电竞方向）,15k-20k,17.5,,,
爱回收,资深UI设计师,20k-30k,25,,,
喜马拉雅,高级UI设计师,15k-30k,22.5,,,
faceui,视觉设计师,8k-15k,11.5,,,
Know Yourself,UI设计实习生,2k-3k,2.5,,,
辰沅金融,软件UI设计师,8k-15k,11.5,,,
星途协议Atlas Protocol,UI设计师,15k-30k,22.5,,,
太平洋房屋,中级UI设计师,10k-15k,12.5,,,
优复教育,高级UI设计师,10k-20k,15,,,
上海正太网络科技有限公司,高级ui设计师,18k-25k,21.5,,,
讯真,高级UI设计师,15k-25k,20,,,
蓝薪卡,ui设计师,12k-18k,15,,,
印付科技,UI设计岗实习生,1k-2k,1.5,,,
携程,UI视觉设计师,15k-25k,20,,,
叽里呱啦,【2019年校招】UI/UX设计师,10k-15k,12.5,,,
复深蓝,高级ui设计师（14）,15k-20k,17.5,,,
钱咖,资深ui设计师,10k-20k,15,,,
达达-京东到家,高级视觉设计师,20k-25k,22.5,,,
京东数科,UI设计师,10k-20k,15,,,
求致科技,ui设计实习,2k-4k,3,,,
美团点评,资深视觉设计师,20k-35k,27.5,,,
TT lab,视觉设计师,7k-13k,10,,,
伊飒尔,高级视觉设计师,10k-12k,11,,,
年轻集势,视觉设计师,10k-20k,15,,,
义启信息,UI设计师,8k-10k,9,,,
小站教育,UI设计师（PC）,15k-25k,20,,,
海万科技,资深UI设计师,12k-17k,14.5,,,
京东集团,ui设计师,15k-30k,22.5,,,
蜻蜓FM,高级视觉设计师,10k-20k,15,,,
携程,UI设计师,12k-18k,15,,,
拼多多,资深视觉设计师,20k-40k,30,,,
万根网络,UI设计师,7k-10k,8.5,,,
同框科技,UI设计师,10k-18k,14,,,
边界智能,视觉设计师,12k-20k,16,,,
设计院,ui设计师,8k-12k,10,,,
童天网络,UI图标设计师,6k-12k,9,,,
杭州辽量数字科技有限公司,高级UI设计师,10k-15k,12.5,,,
优幕网,资深ui设计师,10k-12k,11,,,
上海惠享,视觉设计主管,8k-16k,12,,,
翼锦传媒,UI设计师,8k-16k,12,,,
众安保险,UI设计师,15k-25k,20,,,
韩创科技,UI设计师,15k-25k,20,,,
腾讯,天天P图视觉设计师（上海）,20k-30k,25,,,
饿了么,资深视觉设计师/设计专家（界面方向）,18k-30k,24,,,
极战,视觉设计师,8k-12k,10,,,
恺英网络,UI设计师,10k-20k,15,,,
爱勺科技,视觉设计师,6k-10k,8,,,
怡宝化妆品,平面设计/视觉设计,10k-15k,12.5,,,
携程,资深UI设计师,15k-25k,20,,,
爱奇艺,电商-高级视觉设计师-上海,12k-18k,15,,,
朗诗,UI设计师,10k-15k,12.5,,,
去练（上海）,UI设计经理,15k-20k,17.5,,,
DesignHub,UI设计师/用户界面设计师,14k-28k,21,,,
杭州辽量数字科技有限公司,视觉设计师,7k-10k,8.5,,,
矩阵同创,高级游戏ui设计师,8k-12k,10,,,
字节跳动,UI设计师,15k-30k,22.5,,,
出门问问,UI设计师-上海闵行-00781,15k-20k,17.5,,,
Remix,UI设计师,7k-12k,9.5,,,
三七互娱,高级UI设计师,15k-25k,20,,,
Charles&Keith,软件开发主管（ui）,15k-20k,17.5,,,
小蚁,UI设计师,10k-20k,15,,,
小象汉字,视觉设计,8k-16k,12,,,
爱回收,资深视觉设计师,15k-25k,20,,,
亲微,视觉设计师,8k-12k,10,,,
华住酒店集团,高级UI设计师,10k-20k,15,,,
极贝,UI设计师 界面设计师 手机游戏,10k-20k,15,,,
武势网络,游戏UI设计师,10k-15k,12.5,,,
电鳗互动传媒,资深视觉设计,8k-15k,11.5,,,
友塔游戏,游戏UI设计师,6k-12k,9,,,
汉朔科技,UI设计师,20k-40k,30,,,
广州金房卡信息科技有限公司,视觉设计师 - 运营设计方向,8k-13k,10.5,,,
寻找母星,资深ui设计师,12k-22k,17,,,
东方财富,资深视觉设计师,15k-20k,17.5,,,
字节跳动,高级UI设计师,20k-40k,30,,,
乐贝网络,视觉设计师,10k-20k,15,,,
达达-京东到家,高级视觉设计师,15k-20k,17.5,,,
优梦,品牌视觉设计师,10k-15k,12.5,,,
蝉知信息,高级UI设计师,15k-28k,21.5,,,
仁端网络,UI设计师,6k-10k,8,,,
东方财富,UI界面设计师,10k-20k,15,,,
睿畜科技,UI 设计师,7k-13k,10,,,
火猫直播,UI设计师,20k-30k,25,,,
极链科技Video++,视觉设计师,6k-12k,9,,,
莉莉丝游戏,游戏UI设计师,15k-25k,20,,,
上海玄云网络科技有限公司,手游UI设计师,10k-20k,15,,,
蜂果网络,资深UI设计师,10k-18k,14,,,
美味不用等,视觉设计实习生,3k-4k,3.5,,,
喜马拉雅,UI设计师,8k-16k,12,,,
策宇信息,兼职-UI设计师,3k-5k,4,,,
什马金融,ui设计师,10k-20k,15,,,
上海琢苍家居,视觉设计师,8k-10k,9,,,
口袋传奇,游戏UI设计师,15k-30k,22.5,,,
易安科技,UI设计师,8k-10k,9,,,
卡行天下,视觉设计师,10k-20k,15,,,
拼多多,视觉设计师,10k-20k,15,,,
方趣网络,游戏UI,10k-20k,15,,,
FitTime即刻运动,资深视觉设计师,10k-15k,12.5,,,
游戏多,游戏UI设计师,15k-25k,20,,,
瑞多科技,UI/UE设计师,12k-15k,13.5,,,
火猫直播,UI设计工程师,15k-30k,22.5,,,
字节跳动,国际化视觉设计师,15k-30k,22.5,,,
骏梦游戏,游戏UI设计师,10k-15k,12.5,,,
心动网络,游戏UI设计师(J10123),15k-30k,22.5,,,
PwC,UI designer,12k-24k,18,,,
亿浪创新设计,视觉设计师,6k-12k,9,,,
Machinist(梅凯尼）,互动视觉设计（可实习）,4k-8k,6,,,
小闲在线,UI交互设计师,15k-25k,20,,,
斯干,视觉设计师,15k-25k,20,,,
faceui,UI设计师,5k-10k,7.5,,,
拼多多,资深UI设计师,20k-40k,30,,,
太安堂,资深UI设计师,8k-16k,12,,,
上海舍天,UI设计,4k-6k,5,,,
橙娱传媒,资深设计/平面设计/视觉设计,8k-15k,11.5,,,
众安保险,UI设计师,10k-20k,15,,,
食云集,资深平面&UI设计,8k-15k,11.5,,,
森亿智能,UI / UX 设计师,10k-20k,15,,,
iSpeak,UI设计师（偏游戏UI）,12k-16k,14,,,
返利网,视觉设计实习生,2k-4k,3,,,
赐云网络,游戏UI设计师,16k-20k,18,,,
爱奇艺,高级/资深视觉设计师,15k-30k,22.5,,,
清鹤科技,视觉设计师（实习）,4k-6k,5,,,
爱回收,高级UI设计师,15k-25k,20,,,
牛咖,高级UI设计师,25k-35k,30,,,
上海米哈游,资深UI设计师,15k-30k,22.5,,,
爱奇艺,电商-高级视觉设计师-上海,15k-20k,17.5,,,
云鹊医疗,高级视觉设计师,15k-20k,17.5,,,
