Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
口袋记账,产品经理,6k-10k,8,,,
海深科技,产品经理,20k-40k,30,,,
有鱼金融科技,产品经理,15k-30k,22.5,,,
Ruff,产品经理,13k-25k,19,,,
威斯科技,金融产品经理,28k-42k,35,,,
齐家网,产品经理,12k-20k,16,,,
源慧信息,电商产品经理,10k-15k,12.5,,,
淘集集,数据产品经理,30k-50k,40,,,
黑湖科技,产品经理,18k-35k,26.5,,,
云盾,后台产品经理,15k-25k,20,,,
韩创科技,互联网产品经理,15k-30k,22.5,,,
虎博科技,数据平台产品经理,16k-32k,24,,,
R2.ai,AI产品经理,18k-30k,24,,,
设计院,产品经理,12k-18k,15,,,
数据宝,产品经理,20k-25k,22.5,,,
斯干,产品经理,8k-16k,12,,,
誉正通信科技,产品经理,15k-18k,16.5,,,
有鱼金融科技,产品经理,15k-30k,22.5,,,
Ruff,产品经理,15k-28k,21.5,,,
闪电降价APP,APP产品经理,20k-35k,27.5,,,
上海创鲲,产品经理,10k-15k,12.5,,,
乐贝网络,产品经理,15k-30k,22.5,,,
翼也,产品经理,15k-20k,17.5,,,
博复科技,产品经理,12k-18k,15,,,
蜂雀网络,产品经理,15k-25k,20,,,
海万科技,产品经理,13k-18k,15.5,,,
上海才隽网络科技有限公司,产品经理,15k-30k,22.5,,,
菱感,产品经理,12k-16k,14,,,
趣头条,电商产品经理,15k-30k,22.5,,,
劲牛,产品经理,12k-22k,17,,,
携车网,产品经理,10k-20k,15,,,
ZRobot,产品经理,10k-20k,15,,,
趣头条,产品经理（电商）,20k-40k,30,,,
新增鼎数据,产品经理,10k-20k,15,,,
2SE,产品经理,10k-20k,15,,,
欧路软件,产品经理,8k-16k,12,,,
863软件,产品经理,10k-20k,15,,,
众安保险,云产品经理,20k-30k,25,,,
海万科技,产品经理,10k-20k,15,,,
长投网,产品经理（保险部）,14k-18k,16,,,
小红书,产品经理实习生,2k-4k,3,,,
驻云,产品经理(J10247),15k-25k,20,,,
巨米传媒,产品经理,15k-25k,20,,,
源石云,产品经理,10k-15k,12.5,,,
宝尊电商,产品经理(J18378),20k-35k,27.5,,,
讯联数据,产品经理,8k-16k,12,,,
韩创科技,产品经理,25k-50k,37.5,,,
爱回收,高级产品经理,30k-35k,32.5,,,
金扳手,产品经理,18k-30k,24,,,
诺心lecake,产品经理,15k-25k,20,,,
软中咨询,产品经理,9k-10k,9.5,,,
Ping++,产品经理（C端方向）,15k-30k,22.5,,,
竹间智能科技(上海)有限公司,产品经理,15k-30k,22.5,,,
海万科技,互联网产品经理,13k-17k,15,,,
凹凸租车,产品经理-后台,15k-30k,22.5,,,
虎扑,产品经理,16k-26k,21,,,
趣头条,商业化产品经理,25k-50k,37.5,,,
酒壳,产品经理,8k-10k,9,,,
买单侠,产品经理实习,2k-3k,2.5,,,
惠信,产品经理,15k-20k,17.5,,,
QIWi柒维,产品经理,8k-16k,12,,,
SNH48,产品经理,6k-10k,8,,,
飞书互动,产品经理,15k-30k,22.5,,,
互盾科技,产品经理/PM,12k-20k,16,,,
德邦,产品经理-线路规划,16k-20k,18,,,
2144游戏,产品经理,15k-30k,22.5,,,
有鱼金融科技,产品经理,15k-30k,22.5,,,
韩创科技,产品经理,15k-30k,22.5,,,
恺英网络,产品经理,12k-20k,16,,,
掌门集团,产品经理（LX）,10k-15k,12.5,,,
优复教育,产品经理,8k-16k,12,,,
