Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
mingbo,java后端开发工程师,14k-20k,17,,,
微盟,JAVA,15k-30k,22.5,,,
海万科技,JAVA开发工程师,12k-17k,14.5,,,
晋消,高级Java开发工程师,20k-40k,30,,,
浙数文化,高级java开发工程师,18k-25k,21.5,,,
叮咚买菜,高级JAVA开发,18k-30k,24,,,
大搜车,Java实习生（上海）07-02-04,3k-5k,4,,,
瑞翼,Java高级开发工程师,15k-25k,20,,,
独立日,高级JAVA开发工程师,15k-25k,20,,,
易果生鲜,Java高级/资深研发工程师-城配,15k-28k,21.5,,,
Qtools,java高级开发工程师,15k-25k,20,,,
途虎养车网,高级Java开发工程师,20k-35k,27.5,,,
新潮传媒,后端开发工程师-Java,15k-30k,22.5,,,
松下信息系统,Java高级开发工程师（研发方向）,15k-25k,20,,,
上汽云计算中心,Java开发工程师,18k-35k,26.5,,,
瑛麒动漫,高级java开发工程师,18k-25k,21.5,,,
中新金科,高级Java软件工程师,15k-30k,22.5,,,
海万科技,Java开发工程师,10k-15k,12.5,,,
晋消,高级Java开发工程师,20k-35k,27.5,,,
坚果云,后端Java开发工程师,15k-30k,22.5,,,
方付通,Java,13k-25k,19,,,
上海中软华腾软件系统有限公司,Java,14k-25k,19.5,,,
汉得信息,Java中级,12k-15k,13.5,,,
橙鹰,Java开发工程师（雏鹰计划-上海）,10k-20k,15,,,
上海彩付,高级技术开发（Java）,10k-20k,15,,,
速石科技,Java后端开发工程师,25k-40k,32.5,,,
游伴伴,java,10k-15k,12.5,,,
融宇,高级Java开发工程师,15k-25k,20,,,
威斯科技,Java高级开发师,25k-50k,37.5,,,
爱库存,Java开发工程师,20k-25k,22.5,,,
CLPS,Business(Java),13k-25k,19,,,
鲸鱼智能,高级Java开发工程师,20k-30k,25,,,
海万科技,java开发,9k-13k,11,,,
橙鹰,Java开发工程师（雏鹰计划-上海）,10k-20k,15,,,
星合金融科技,JAVA高级工程师,20k-40k,30,,,
上海中软华腾软件系统有限公司,java工程师,13k-18k,15.5,,,
