
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
上海正也科技,产品/交互设计师,8k-12k,10.0,,"“带薪年假,无限零食,不定时团建,期权激励”","移动互联网,企业服务",天使轮,50-150人
平安租赁,2611FR-交互设计师（汽车金融方向）,10k-15k,12.5,,"“五险一金,绩效奖金,带薪年假”",金融,不需要融资,500-2000人
盒马,交互设计专家,20k-40k,30.0,,“线上线下前后台串联营销导购，深入零售本质”,O2O,不需要融资,2000人以上
返利网,交互设计专家,20k-30k,25.0,,"“福利待遇好,工作环境优,学习机会多”",电子商务,C轮,500-2000人
永辉超市股份有限公司,交互设计师,20k-40k,30.0,,“待遇优、空间大、平台好”,"电子商务,O2O",上市公司,2000人以上
Change,交互设计师,10k-20k,15.0,,"“发展空间大,薪资水平高,公司有活力”",移动互联网,A轮,15-50人
太安堂,资深交互设计师,13k-18k,15.5,,"“扁平管理,绩效奖金”",医疗健康、电子商务,上市公司,2000人以上
瓴里网络,交互设计实习生,2k-3k,2.5,,"“年底双薪,开放自由,弹性工作制,免费咖啡”",移动互联网,A轮,50-150人
faceui,交互设计师,8k-15k,11.5,,"“带薪年假,定期体检,节日福利,定期体检”",移动互联网,天使轮,50-150人
爱奇艺,资深交互设计师,15k-30k,22.5,,“热爱互联网，有调性和要性，这里有你的平台”,"广告营销,文化娱乐",上市公司,2000人以上
携程,资深交互设计师,20k-30k,25.0,,“大平台 行业领先 发展空间大”,"移动互联网,旅游",上市公司,2000人以上
ONEROOT,资深交互设计师,18k-32k,25.0,,"“年底多薪,扁平管理,项目奖金,弹性工作”",移动互联网,不需要融资,50-150人
蚂蚁金服集团,智能可视化 - 交互设计师,18k-36k,27.0,,“有趣的前沿研发型设计工作”,"金融,移动互联网",B轮,2000人以上
MassThinker,资深交互设计/服务设计freelancer,10k-20k,15.0,,"“前瞻性项目,跨国团队,项目激励”","移动互联网,企业服务",不需要融资,15-50人
有涵贸易,交互设计师,28k-48k,38.0,,“五险一金”,"移动互联网,电子商务",未融资,15-50人
AIDIVI,交互设计助理,12k-18k,15.0,,“发展空间大，培训&旅游，多福利。”,"其他,移动互联网",未融资,15-50人
韩创科技,交互设计,7k-10k,8.5,,"“不加班,双倍年假,购机补贴,美女多”","移动互联网,文化娱乐",不需要融资,500-2000人
彩贝壳,交互设计师,12k-20k,16.0,,“跟产品大牛学习，主导千万级用户的产品设计”,移动互联网,A轮,50-150人
Maxbund,交互设计师,6k-12k,9.0,,“绩效考核”,广告营销 O2O,未融资,15-50人
TANG,高级交互设计师,15k-30k,22.5,,“独有的UX专业人员职业发展规划和晋升通道”,移动互联网,未融资,50-150人
陕西恒盛镁业有限公司,游戏交互设计师,15k-30k,22.5,,"“绩效奖金,带薪休假”",其他,未融资,50-150人
返利网,资深交互设计师,15k-30k,22.5,,"“福利待遇好,工作环境优,员工旅游,补充医疗”",电子商务,C轮,500-2000人
酷可网络,ui设计师/交互设计师,8k-12k,10.0,,“高薪，发展空间大”,移动互联网 社交网络,未融资,15-50人
携程,交互设计师,10k-18k,14.0,,“旅游巨头公司等你来哦～”,"移动互联网,旅游",上市公司,2000人以上
蜻蜓FM,国际资深交互设计师,25k-35k,30.0,,"“国际化,聚焦战略,范围好,风口行业”",移动互联网,D轮及以上,150-500人
樊登读书,UX 交互设计师,13k-26k,19.5,,“学习型组织 千万级用户”,"移动互联网,教育",C轮,150-500人
返利网,交互设计管培生,8k-12k,10.0,,"“五险一金,商业保险,节日福利,健身俱乐部”",电子商务,C轮,500-2000人
红星美凯龙,UX交互设计专家,14k-25k,19.5,,“美女如云 专业培训 下午茶零食 团建”,其他,上市公司,2000人以上
游族网络,游戏资深交互设计师,20k-35k,27.5,,"“工作氛围好,专业培训,发展空间大,上市公司”","移动互联网,游戏",上市公司,500-2000人
九曳供应链,UED交互设计师,10k-20k,15.0,,“专业的导师团队，不定期技术分享~”,"电子商务,数据服务",C轮,500-2000人
千层浪图文设计（上海）有限公司,网页交互设计师,5k-8k,6.5,,“定期体检 年终奖 出国机会 五险一金”,广告营销,不需要融资,50-150人
LKK洛可可设计集团,交互设计师 UX Designer,8k-15k,11.5,,"“五险一金,绩效奖金,扁平管理,弹性工作”",企业服务,未融资,50-150人
