Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
新潮传媒,产品经理,15k-28k,21.5,"
                    
                        ","“广告投放,APP,小程序”","移动互联网,广告营销",A轮,0
小灶能力派,高级产品经理,25k-40k,32.5,"
                    
                        ","“薪酬待遇好,发展空间大,股权激励,团队友好”","移动互联网,教育",天使轮,0
红星美凯龙互联网集团,高级产品经理,12k-24k,18.0,"
                    
                        ","“平台大,福利好,上市公司,产品可落地”","移动互联网,O2O",上市公司,0
问卷网@爱调研,高级产品经理,15k-25k,20.0,"
                    
                ",“五险一金，弹性工作，水果下午茶，节日福利”,移动互联网,B轮,0
上海印鹰happyeasygo,用户增长-产品经理,15k-30k,22.5,"
                    
                        ",“五险一金 期权 生日福利 团建 双休”,"电子商务,旅游",B轮,0
太美医疗科技,产品经理,10k-20k,15.0,"
                    
                        ","“15薪,带薪年假,晋升空间”",移动互联网,D轮及以上,0
TutorABC英语,产品经理,15k-30k,22.5,"
                    
                        ",“五险一金，早餐水果”,"移动互联网,教育",C轮,0
55海淘,产品经理,10k-20k,15.0,"
                    
                        ",“发展空间大，待遇从优”,电子商务,上市公司,0
运满满,产品经理,25k-35k,30.0,"
                    
                        ",“阿里系”,"移动互联网,O2O",D轮及以上,0
微医贝联,产品经理/总监,16k-26k,21.0,"
                    
                ",“成长空间”,"移动互联网,医疗健康",C轮,0
星环科技,产品经理 (MJ000224),20k-35k,27.5,"
                    
                        
                            ",“技术平台好 成长机制完善”,数据服务,C轮,0
复星金服,产品经理,12k-22k,17.0,"
                        
                    
                        
                            ","“国际平台,大牛云集,补充公积金,员工食堂”","金融,移动互联网",不需要融资,0
比菜价,产品经理-前端,10k-20k,15.0,"
                        
                    
                        
                            ",“餐补，P线M线双通道发展，带薪年假”,移动互联网,A轮,0
云势软件,上海-产品经理,18k-30k,24.0,"
                        
                    
                        
                            ","“七险一金,扁平管理,年度体检”",企业服务,A轮,0
上海睿渠,高级产品经理,15k-20k,17.5,"
                        
                    
                ","“福利好,弹性工作,带薪休假,氛围好”","移动互联网,O2O",A轮,0
信用算力,高级产品经理,25k-50k,37.5,"
                    
                        ","“发展空间大,弹性工作,升职加薪,氛围欢快”","移动互联网,金融",B轮,0
不占座,产品经理（增长方向）,10k-20k,15.0,"
                    
                        ","“五险一金,偏平管理,股票期权”","移动互联网,其他",A轮,0
小灶能力派,高级产品经理,20k-30k,25.0,"
                    
                        ","“薪酬待遇好,团队氛围佳,发展空间大”","移动互联网,教育",天使轮,0
海万科技,产品经理,14k-20k,17.0,"
                    
                        ","“旅游,体检,过节费,年终奖”","移动互联网,金融",不需要融资,0
同策咨询,产品经理,20k-30k,25.0,"
                    
                        ","“集团岗位,团队规模大”",金融,不需要融资,0
华云数据,00813-265-产品发布经理,15k-25k,20.0,"
                    
                        ","“各项补贴,弹性上下班,团建旅游,病假年假”","移动互联网,数据服务",D轮及以上,0
洋钱罐,产品经理,15k-25k,20.0,"
                    
                        ",“六险一金 ，14薪，弹性工作制，双休”,"移动互联网,金融",不需要融资,0
哈啰出行,单车产品经理,18k-35k,26.5,"
                    
                        ","“14薪,E轮,期权奖励”","移动互联网,硬件",D轮及以上,0
瑛麒动漫,高级产品经理,18k-30k,24.0,"
                    
                        ","“氛围好,成就感导向,二次元”","移动互联网,文化娱乐",A轮,0
河姆渡电子商务有限公司,高级产品经理(J10272),25k-35k,30.0,"
                    
                ","“福利丰厚,岗位晋升大”",电子商务,A轮,0
味噌互动,产品经理（增长）,20k-30k,25.0,"
                    
                        ","“休闲游戏,超酷福利,地铁周边,六险一金”","游戏,社交网络",不需要融资,0
绿智汇,软件产品经理,15k-25k,20.0,"
                    
                        ","“高绩效,高项目奖金,企业年金,补充公积金”","电子商务,O2O",A轮,0
海万科技,产品经理,9k-15k,12.0,"
                    
                        ","“五险一金,生日礼金,旅游、体检,过节福利”","移动互联网,金融",不需要融资,0
菜花传媒,高级产品经理,15k-25k,20.0,"
                    
                        ","“多次调薪,节日福利,创业公司,五险一金”","移动互联网,电子商务",A轮,0
NIO蔚来,产品经理,15k-30k,22.5,"
                    
                ","“办公环境佳,大牛云集,团队氛围佳”","移动互联网,硬件",D轮及以上,0
